experiment,dataset,method,degree,regularization,lambda1,lambda2,batch_size,normalized,condition_number,loss,risk,l1,l2,iterations,epochs,grad_evals,time_seconds,status,converged,weights,alpha0,decay,clipped_updates,max_grad_norm,linear_solver,mu0,mu_final,accepted_steps,rejected_steps
optimizer_comparison,nonlinear,sgd,5,none,0.0,0.0,1,True,1390.1518076748573,0.2482685970866145,0.2482685970866145,0.0,0.0,450,450,67500,0.8696374999999534,max_epochs_reached,False,"[0.1458359244, 2.468292441, 0.7151411576, -3.590318484, -0.2781637233, 1.097182645]",0.018,0.02,735.0,100.0,,,,,
optimizer_comparison,nonlinear,mini_batch,5,none,0.0,0.0,32,True,1390.1518076748573,0.35351159761206913,0.35351159761206913,0.0,0.0,450,450,2250,0.04419929999858141,max_epochs_reached,False,"[0.1907187463, 0.9731937516, 0.5938204341, -1.578502703, -0.2685321563, 0.5118037761]",0.025,0.02,0.0,100.0,,,,,
optimizer_comparison,nonlinear,gauss_newton,5,none,0.0,0.0,,True,1390.1518076748573,0.22470483415799086,0.22470483415799086,0.0,0.0,2,0,2,0.00014369998825713992,converged,True,"[0.1362896824, 2.475569753, 0.7399724162, -3.605202128, -0.320783324, 1.077540797]",,,,,solve,,,,
optimizer_comparison,nonlinear,levenberg_marquardt,5,none,0.0,0.0,,True,1390.1518076748573,0.2247048341579907,0.2247048341579907,0.0,0.0,7,0,7,0.0006081000028643757,converged,True,"[0.1362896824, 2.475569753, 0.7399724162, -3.605202128, -0.320783324, 1.077540797]",,,,,solve,0.01,0.000625,5.0,1.0
