lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,1,almost_linear,levenberg_marquardt,13.33867984582428,13.33867984582428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,1,almost_linear,levenberg_marquardt,0.08116215697848916,0.08116215697848916,0.0,0.0,1.0,1.0,0.00016199999663513154
0.0,0.0,none,1,almost_linear,levenberg_marquardt,0.08116209806404368,0.08116209806404368,0.0,0.0,2.0,2.0,0.0002457999944454059
0.0,0.0,none,1,almost_linear,levenberg_marquardt,0.08116209806404359,0.08116209806404359,0.0,0.0,3.0,3.0,0.0003184999950462952
0.0,0.0,none,1,almost_linear,levenberg_marquardt,0.08116209806404359,0.08116209806404359,0.0,0.0,4.0,4.0,0.00038719999429304153
