lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,3,nonlinear,levenberg_marquardt,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,3,nonlinear,levenberg_marquardt,0.6857147742492277,0.6857147742492277,0.0,0.0,1.0,1.0,8.290000550914556e-05
0.0,0.0,none,3,nonlinear,levenberg_marquardt,0.6857147715298537,0.6857147715298537,0.0,0.0,2.0,2.0,0.00015690000145696104
0.0,0.0,none,3,nonlinear,levenberg_marquardt,0.6857147715298536,0.6857147715298536,0.0,0.0,3.0,3.0,0.00023239999427460134
0.0,0.0,none,3,nonlinear,levenberg_marquardt,0.6857147715298536,0.6857147715298536,0.0,0.0,4.0,4.0,0.00031940000189933926
0.0,0.0,none,3,nonlinear,levenberg_marquardt,0.6857147715298536,0.6857147715298536,0.0,0.0,5.0,5.0,0.00040330000047106296
