lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,2,almost_linear,levenberg_marquardt,13.33867984582428,13.33867984582428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,2,almost_linear,levenberg_marquardt,0.08089020523877188,0.08089020523877188,0.0,0.0,1.0,1.0,8.499999239575118e-05
0.0,0.0,none,2,almost_linear,levenberg_marquardt,0.08089014096563214,0.08089014096563214,0.0,0.0,2.0,2.0,0.00015759999223519117
0.0,0.0,none,2,almost_linear,levenberg_marquardt,0.08089014096563195,0.08089014096563195,0.0,0.0,3.0,3.0,0.00022739999985788018
