lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,5,almost_linear,levenberg_marquardt,13.33867984582428,13.33867984582428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,5,almost_linear,levenberg_marquardt,0.07914127948557603,0.07914127948557603,0.0,0.0,1.0,1.0,8.47000046633184e-05
0.0,0.0,none,5,almost_linear,levenberg_marquardt,0.07914025221397822,0.07914025221397822,0.0,0.0,2.0,2.0,0.00015950000670272857
0.0,0.0,none,5,almost_linear,levenberg_marquardt,0.07914025221111809,0.07914025221111809,0.0,0.0,3.0,3.0,0.00023089999740477651
0.0,0.0,none,5,almost_linear,levenberg_marquardt,0.07914025221111809,0.07914025221111809,0.0,0.0,4.0,4.0,0.000301499996567145
0.0,0.0,none,5,almost_linear,levenberg_marquardt,0.07914025221111806,0.07914025221111806,0.0,0.0,5.0,5.0,0.0003728000010596588
