lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,1,nonlinear,levenberg_marquardt,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,1,nonlinear,levenberg_marquardt,0.6915908385152013,0.6915908385152013,0.0,0.0,1.0,1.0,7.929999264888465e-05
0.0,0.0,none,1,nonlinear,levenberg_marquardt,0.6915908380285112,0.6915908380285112,0.0,0.0,2.0,2.0,0.00015490000077988952
0.0,0.0,none,1,nonlinear,levenberg_marquardt,0.6915908380285112,0.6915908380285112,0.0,0.0,3.0,3.0,0.00022370000078808516
0.0,0.0,none,1,nonlinear,levenberg_marquardt,0.6915908380285112,0.6915908380285112,0.0,0.0,4.0,4.0,0.0003006999904755503
