lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,3,almost_linear,levenberg_marquardt,13.33867984582428,13.33867984582428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,3,almost_linear,levenberg_marquardt,0.0802988726970889,0.0802988726970889,0.0,0.0,1.0,1.0,0.00012510000669863075
0.0,0.0,none,3,almost_linear,levenberg_marquardt,0.08029851054203291,0.08029851054203291,0.0,0.0,2.0,2.0,0.0002204000047640875
0.0,0.0,none,3,almost_linear,levenberg_marquardt,0.08029851054201001,0.08029851054201001,0.0,0.0,3.0,3.0,0.0003085000062128529
0.0,0.0,none,3,almost_linear,levenberg_marquardt,0.08029851054201001,0.08029851054201001,0.0,0.0,4.0,4.0,0.00040129999979399145
0.0,0.0,none,3,almost_linear,levenberg_marquardt,0.08029851054201001,0.08029851054201001,0.0,0.0,5.0,5.0,0.0004912000003969297
0.0,0.0,none,3,almost_linear,levenberg_marquardt,0.08029851054201,0.08029851054201,0.0,0.0,6.0,6.0,0.0005792000010842457
