lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.22470957162366423,0.22470957162366423,0.0,0.0,1.0,1.0,8.450000314041972e-05
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.22470483417232837,0.22470483417232837,0.0,0.0,2.0,2.0,0.00015959999291226268
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.2247048341579909,0.2247048341579909,0.0,0.0,3.0,3.0,0.0002314000012120232
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.22470483415799075,0.22470483415799075,0.0,0.0,4.0,4.0,0.00030819998937658966
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.22470483415799075,0.22470483415799075,0.0,0.0,5.0,5.0,0.00039459999243263155
0.0,0.0,none,5,nonlinear,levenberg_marquardt,0.2247048341579907,0.2247048341579907,0.0,0.0,6.0,6.0,0.0005073999927844852
